year,scenario,forecast,lower_95,upper_95
2025,pessimistic,56.13421052631584,54.02877056188363,58.23965049074804
2026,pessimistic,58.5,54.73912007113559,62.26087992886441
2027,pessimistic,61.61578947368416,55.82446958038755,67.40710936698078
2025,base,56.584210526315836,54.253770561883634,58.914650490748045
2026,base,58.5,54.73912007113559,62.26087992886441
2027,base,61.915789473684164,55.97446958038755,67.85710936698078
2025,optimistic,57.03421052631584,54.47877056188363,59.58965049074804
2026,optimistic,58.5,54.73912007113559,62.26087992886441
2027,optimistic,62.21578947368416,56.124469580387554,68.30710936698077
